adoption_id,customer_id,feature_id,date_id,adoption_date,activation_date,activation_lag_days,acquisition_channel,is_activated,days_to_first_transaction
ADO000134,CUST04038,FEAT002,20220803,2022-08-03,2022-08-03,0,In-App Banner,1,
ADO000135,CUST01607,FEAT004,20230210,2023-02-10,2023-02-13,3,Push Notification,1,4.0
ADO000136,CUST04663,FEAT001,20230528,2023-05-28,2023-06-12,15,Email,1,33.0
ADO000137,CUST01397,FEAT001,20230720,2023-07-20,2023-07-26,6,Email,1,20.0
ADO000138,CUST04940,FEAT002,20230802,2023-08-02,2023-08-07,5,Referral,1,28.0
ADO000139,CUST00536,FEAT006,20220512,2022-05-12,2022-06-04,23,Referral,1,
ADO000140,CUST00533,FEAT003,20220511,2022-05-11,2022-05-19,8,Push Notification,1,36.0
ADO000141,CUST04669,FEAT003,20220822,2022-08-22,2022-09-19,28,Email,1,
ADO000142,CUST04286,FEAT001,20221008,2022-10-08,2022-10-14,6,Email,1,44.0
ADO000143,CUST00190,FEAT001,20230630,2023-06-30,2023-07-19,19,In-App Banner,1,25.0
ADO000144,CUST02072,FEAT001,20230728,2023-07-28,2023-08-25,28,Push Notification,0,
ADO000145,CUST03719,FEAT001,20220103,2022-01-03,2022-02-02,30,Email,1,8.0
ADO000146,CUST03499,FEAT001,20220223,2022-02-23,2022-03-22,27,Email,1,
ADO000147,CUST02647,FEAT002,20230319,2023-03-19,2023-04-15,27,In-App Banner,0,36.0
ADO000148,CUST03334,FEAT007,20221008,2022-10-08,2022-10-11,3,Email,1,21.0
ADO000149,CUST04246,FEAT006,20230423,2023-04-23,2023-05-08,15,In-App Banner,0,40.0
ADO000150,CUST02962,FEAT002,20230614,2023-06-14,2023-07-08,24,Push Notification,1,13.0
ADO000151,CUST00357,FEAT003,20220818,2022-08-18,2022-08-19,1,In-App Banner,1,12.0
ADO000152,CUST02277,FEAT003,20230307,2023-03-07,2023-03-24,17,In-App Banner,1,34.0
ADO000153,CUST03678,FEAT001,20221120,2022-11-20,2022-11-20,0,In-App Banner,1,31.0
ADO000154,CUST03211,FEAT003,20220719,2022-07-19,2022-07-29,10,In-App Banner,1,53.0
ADO000155,CUST00671,FEAT001,20230809,2023-08-09,2023-09-03,25,Push Notification,1,31.0
ADO000156,CUST00208,FEAT001,20220820,2022-08-20,2022-09-11,22,In-App Banner,0,30.0
ADO000157,CUST03472,FEAT003,20220318,2022-03-18,2022-04-16,29,In-App Banner,1,13.0
ADO000158,CUST02048,FEAT005,20220721,2022-07-21,2022-07-26,5,In-App Banner,1,45.0
ADO000159,CUST02698,FEAT005,20221115,2022-11-15,2022-11-17,2,Email,1,48.0
ADO000160,CUST00793,FEAT004,20220129,2022-01-29,2022-02-13,15,Email,0,
ADO000161,CUST03539,FEAT003,20220125,2022-01-25,2022-02-12,18,Organic,1,49.0
ADO000162,CUST02739,FEAT003,20220914,2022-09-14,2022-09-21,7,Push Notification,1,40.0
ADO000163,CUST00884,FEAT003,20230430,2023-04-30,2023-05-07,7,Organic,1,
ADO000164,CUST02792,FEAT006,20220225,2022-02-25,2022-03-23,26,In-App Banner,1,52.0
ADO000165,CUST02733,FEAT002,20230617,2023-06-17,2023-07-12,25,Referral,1,46.0
ADO000166,CUST01940,FEAT001,20220316,2022-03-16,2022-04-09,24,Email,1,25.0
ADO000167,CUST04915,FEAT003,20230326,2023-03-26,2023-04-19,24,Organic,1,58.0
ADO000168,CUST00784,FEAT002,20230403,2023-04-03,2023-04-21,18,Push Notification,1,59.0
ADO000169,CUST01023,FEAT001,20220329,2022-03-29,2022-03-30,1,Push Notification,1,17.0
ADO000170,CUST00274,FEAT006,20230122,2023-01-22,2023-02-01,10,Push Notification,1,20.0
ADO000171,CUST00533,FEAT005,20220511,2022-05-11,2022-05-12,1,Push Notification,1,22.0
ADO000172,CUST03621,FEAT002,20220226,2022-02-26,2022-03-07,9,In-App Banner,1,3.0
ADO000173,CUST03538,FEAT002,20220309,2022-03-09,2022-03-12,3,Email,1,40.0
ADO000174,CUST00458,FEAT008,20230727,2023-07-27,2023-07-28,1,Push Notification,1,1.0
ADO000175,CUST02416,FEAT002,20230126,2023-01-26,2023-02-07,12,Email,1,3.0
ADO000176,CUST00786,FEAT002,20230225,2023-02-25,2023-03-04,7,Referral,1,58.0
ADO000177,CUST04912,FEAT006,20220111,2022-01-11,2022-01-25,14,In-App Banner,0,18.0
ADO000178,CUST03146,FEAT003,20230421,2023-04-21,2023-05-16,25,Push Notification,0,
ADO000179,CUST03508,FEAT001,20220414,2022-04-14,2022-04-24,10,Referral,1,
ADO000180,CUST00213,FEAT001,20230410,2023-04-10,2023-04-26,16,In-App Banner,1,58.0
ADO000181,CUST02689,FEAT001,20220717,2022-07-17,2022-07-20,3,Push Notification,1,25.0
ADO000182,CUST00842,FEAT003,20220113,2022-01-13,2022-02-01,19,Push Notification,1,
ADO000183,CUST00554,FEAT004,20220718,2022-07-18,2022-08-15,28,Push Notification,1,40.0
ADO000184,CUST04696,FEAT006,20220510,2022-05-10,2022-05-30,20,Email,1,43.0
ADO000185,CUST04169,FEAT002,20220920,2022-09-20,2022-10-01,11,Referral,1,28.0
ADO000186,CUST03449,FEAT003,20230508,2023-05-08,2023-05-31,23,Referral,1,14.0
ADO000187,CUST03643,FEAT005,20220710,2022-07-10,2022-07-17,7,Referral,1,41.0
ADO000188,CUST01128,FEAT001,20220215,2022-02-15,2022-02-16,1,In-App Banner,1,54.0
ADO000189,CUST01046,FEAT001,20221116,2022-11-16,2022-12-04,18,Referral,1,51.0
ADO000190,CUST03571,FEAT005,20230610,2023-06-10,2023-07-10,30,Referral,1,49.0
ADO000191,CUST02931,FEAT001,20221115,2022-11-15,2022-12-03,18,Push Notification,1,42.0
ADO000192,CUST04434,FEAT001,20220530,2022-05-30,2022-06-03,4,In-App Banner,1,40.0
ADO000193,CUST03847,FEAT006,20221113,2022-11-13,2022-12-02,19,In-App Banner,1,10.0
ADO000194,CUST02810,FEAT001,20221026,2022-10-26,2022-11-06,11,In-App Banner,1,
ADO000195,CUST00067,FEAT003,20230615,2023-06-15,2023-07-03,18,Push Notification,0,40.0
ADO000196,CUST01185,FEAT004,20220228,2022-02-28,2022-03-07,7,Referral,1,58.0
ADO000197,CUST04155,FEAT006,20230727,2023-07-27,2023-08-23,27,Email,1,
ADO000198,CUST00448,FEAT004,20230309,2023-03-09,2023-03-20,11,Email,1,32.0
ADO000199,CUST01601,FEAT008,20220725,2022-07-25,2022-08-14,20,Referral,1,13.0
ADO000200,CUST01649,FEAT001,20220312,2022-03-12,2022-03-22,10,Referral,1,5.0
ADO000201,CUST01552,FEAT004,20230503,2023-05-03,2023-05-25,22,Email,0,25.0
ADO000202,CUST03829,FEAT007,20221206,2022-12-06,2023-01-02,27,Push Notification,1,
ADO000203,CUST04739,FEAT004,20230803,2023-08-03,2023-09-02,30,Organic,1,14.0
ADO000204,CUST02750,FEAT003,20221103,2022-11-03,2022-11-16,13,Organic,0,18.0
ADO000205,CUST02693,FEAT001,20220616,2022-06-16,2022-06-19,3,Push Notification,1,57.0
ADO000206,CUST03722,FEAT002,20220213,2022-02-13,2022-02-28,15,Email,1,13.0
ADO000207,CUST01798,FEAT003,20220104,2022-01-04,2022-01-24,20,Referral,1,2.0
ADO000208,CUST01828,FEAT003,20220824,2022-08-24,2022-09-07,14,Push Notification,1,59.0
ADO000209,CUST01747,FEAT003,20220902,2022-09-02,2022-09-17,15,Referral,1,56.0
ADO000210,CUST02716,FEAT004,20230120,2023-01-20,2023-01-26,6,Referral,1,24.0
ADO000211,CUST03280,FEAT003,20220708,2022-07-08,2022-08-03,26,Referral,1,
ADO000212,CUST00056,FEAT006,20230107,2023-01-07,2023-01-07,0,Organic,1,3.0
ADO000213,CUST00605,FEAT005,20230102,2023-01-02,2023-01-02,0,Push Notification,1,47.0
ADO000214,CUST04545,FEAT001,20220428,2022-04-28,2022-05-02,4,Email,1,57.0
ADO000215,CUST02381,FEAT002,20230327,2023-03-27,2023-04-02,6,In-App Banner,1,
ADO000216,CUST04798,FEAT003,20230104,2023-01-04,2023-01-05,1,Push Notification,1,33.0
ADO000217,CUST00244,FEAT002,20220723,2022-07-23,2022-07-29,6,Organic,0,18.0
ADO000218,CUST02328,FEAT002,20220628,2022-06-28,2022-07-05,7,Email,1,
ADO000219,CUST02147,FEAT007,20220628,2022-06-28,2022-07-08,10,Push Notification,1,21.0
ADO000220,CUST04543,FEAT001,20220909,2022-09-09,2022-09-14,5,In-App Banner,0,2.0
ADO000221,CUST01606,FEAT001,20220123,2022-01-23,2022-01-28,5,Push Notification,1,34.0
ADO000222,CUST02145,FEAT001,20220414,2022-04-14,2022-04-14,0,Organic,1,58.0
ADO000223,CUST01125,FEAT002,20230124,2023-01-24,2023-02-13,20,Email,0,48.0
ADO000224,CUST00910,FEAT001,20221213,2022-12-13,2023-01-11,29,Push Notification,1,32.0
ADO000225,CUST01723,FEAT003,20221109,2022-11-09,2022-11-23,14,In-App Banner,1,55.0
ADO000226,CUST01968,FEAT006,20230114,2023-01-14,2023-02-08,25,Email,1,
ADO000227,CUST03051,FEAT001,20220625,2022-06-25,2022-07-25,30,In-App Banner,1,42.0
ADO000228,CUST04317,FEAT002,20230321,2023-03-21,2023-04-18,28,In-App Banner,1,1.0
ADO000229,CUST00536,FEAT004,20220502,2022-05-02,2022-05-06,4,In-App Banner,1,39.0
ADO000230,CUST01072,FEAT001,20220714,2022-07-14,2022-07-20,6,In-App Banner,1,
ADO000231,CUST04363,FEAT003,20230123,2023-01-23,2023-02-14,22,Referral,1,24.0
ADO000232,CUST03066,FEAT006,20221122,2022-11-22,2022-12-11,19,Push Notification,1,1.0
ADO000233,CUST03519,FEAT004,20220908,2022-09-08,2022-10-07,29,Email,1,
ADO000234,CUST00379,FEAT002,20220713,2022-07-13,2022-08-09,27,In-App Banner,1,20.0
ADO000235,CUST04387,FEAT006,20221029,2022-10-29,2022-11-23,25,In-App Banner,0,11.0
ADO000236,CUST01218,FEAT003,20221202,2022-12-02,2022-12-09,7,Referral,1,54.0
ADO000237,CUST00437,FEAT001,20221014,2022-10-14,2022-11-10,27,Email,1,9.0
ADO000238,CUST01036,FEAT001,20230605,2023-06-05,2023-07-05,30,Push Notification,0,53.0
ADO000239,CUST04785,FEAT007,20230516,2023-05-16,2023-05-22,6,Email,1,7.0
ADO000240,CUST00667,FEAT001,20230427,2023-04-27,2023-05-22,25,Referral,1,38.0
ADO000241,CUST00532,FEAT004,20220621,2022-06-21,2022-07-07,16,Push Notification,0,46.0
ADO000242,CUST03180,FEAT002,20230606,2023-06-06,2023-06-17,11,Referral,1,5.0
ADO000243,CUST04085,FEAT001,20230616,2023-06-16,2023-06-30,14,Email,1,18.0
ADO000244,CUST01467,FEAT002,20221126,2022-11-26,2022-12-18,22,Push Notification,1,17.0
ADO000245,CUST03063,FEAT002,20230623,2023-06-23,2023-07-15,22,Push Notification,1,2.0
ADO000246,CUST03960,FEAT002,20230522,2023-05-22,2023-06-06,15,Push Notification,1,60.0
ADO000247,CUST02199,FEAT001,20230819,2023-08-19,2023-08-31,12,Email,0,49.0
ADO000248,CUST04784,FEAT006,20220207,2022-02-07,2022-02-13,6,Push Notification,1,8.0
ADO000249,CUST01799,FEAT001,20220727,2022-07-27,2022-08-10,14,Push Notification,1,18.0
ADO000250,CUST01921,FEAT002,20230210,2023-02-10,2023-02-16,6,Push Notification,1,7.0
ADO000251,CUST02507,FEAT001,20230312,2023-03-12,2023-04-09,28,Push Notification,1,
ADO000252,CUST03090,FEAT001,20230809,2023-08-09,2023-08-14,5,Push Notification,1,52.0
ADO000253,CUST03065,FEAT001,20220918,2022-09-18,2022-10-05,17,In-App Banner,1,60.0
ADO000254,CUST00695,FEAT003,20220518,2022-05-18,2022-06-11,24,Push Notification,0,24.0
ADO000255,CUST00689,FEAT001,20221030,2022-10-30,2022-11-13,14,Email,1,9.0
ADO000256,CUST04251,FEAT001,20221227,2022-12-27,2023-01-03,7,Referral,1,49.0
ADO000257,CUST04784,FEAT001,20220212,2022-02-12,2022-02-26,14,Email,0,11.0
ADO000258,CUST04197,FEAT003,20221211,2022-12-11,2022-12-24,13,Referral,1,46.0
ADO000259,CUST03696,FEAT003,20230424,2023-04-24,2023-05-07,13,Push Notification,1,26.0
ADO000260,CUST03351,FEAT003,20230112,2023-01-12,2023-02-06,25,Push Notification,1,50.0
ADO000261,CUST04076,FEAT002,20221121,2022-11-21,2022-11-29,8,In-App Banner,1,48.0
ADO000262,CUST03133,FEAT002,20220126,2022-01-26,2022-01-31,5,In-App Banner,1,
ADO000263,CUST03619,FEAT002,20220828,2022-08-28,2022-09-05,8,In-App Banner,1,
ADO000264,CUST00622,FEAT003,20230103,2023-01-03,2023-01-31,28,Email,1,2.0
ADO000265,CUST00676,FEAT001,20221029,2022-10-29,2022-11-24,26,Push Notification,1,35.0
ADO000266,CUST04111,FEAT001,20230610,2023-06-10,2023-06-27,17,Email,1,21.0
ADO000267,CUST00641,FEAT002,20221011,2022-10-11,2022-11-09,29,Referral,1,59.0
ADO000268,CUST01866,FEAT002,20220411,2022-04-11,2022-04-14,3,Organic,0,19.0
ADO000269,CUST00585,FEAT002,20230104,2023-01-04,2023-01-05,1,Push Notification,1,2.0
ADO000270,CUST04474,FEAT005,20220725,2022-07-25,2022-08-04,10,Email,1,
ADO000271,CUST01611,FEAT003,20221204,2022-12-04,2022-12-12,8,Push Notification,1,42.0
ADO000272,CUST02480,FEAT001,20221009,2022-10-09,2022-10-15,6,In-App Banner,1,27.0
ADO000273,CUST04949,FEAT001,20220522,2022-05-22,2022-06-18,27,Push Notification,1,39.0
ADO000274,CUST04450,FEAT001,20220925,2022-09-25,2022-09-25,0,Email,1,43.0
ADO000275,CUST02454,FEAT006,20221016,2022-10-16,2022-11-11,26,Push Notification,1,
ADO000276,CUST02840,FEAT002,20230218,2023-02-18,2023-03-20,30,In-App Banner,1,47.0
ADO000277,CUST03324,FEAT002,20230817,2023-08-17,2023-09-10,24,In-App Banner,0,50.0
ADO000278,CUST00098,FEAT006,20230429,2023-04-29,2023-05-19,20,In-App Banner,1,8.0
ADO000279,CUST04200,FEAT001,20220602,2022-06-02,2022-06-29,27,In-App Banner,1,
ADO000280,CUST03257,FEAT001,20220822,2022-08-22,2022-08-29,7,In-App Banner,1,37.0
ADO000281,CUST01720,FEAT001,20230501,2023-05-01,2023-05-08,7,Referral,1,13.0
ADO000282,CUST04226,FEAT001,20230720,2023-07-20,2023-08-13,24,In-App Banner,0,11.0
ADO000283,CUST03840,FEAT005,20230418,2023-04-18,2023-04-28,10,Email,1,
ADO000284,CUST00704,FEAT002,20221117,2022-11-17,2022-12-14,27,In-App Banner,1,58.0
ADO000285,CUST01539,FEAT005,20230316,2023-03-16,2023-04-09,24,In-App Banner,1,
ADO000286,CUST03422,FEAT001,20220803,2022-08-03,2022-08-17,14,In-App Banner,1,11.0
