transaction_id,customer_id,feature_id,date_id,transaction_date,transaction_type,amount_inr,transaction_status,device_type,session_duration_sec,is_repeat_user
TXN000099,CUST04814,FEAT007,20220916,2022-09-16,Loan Disbursed,575439.28,Completed,Web,699,0
TXN000100,CUST00240,FEAT004,20230310,2023-03-10,Transfer Receipt,1739.94,Completed,Android,585,0
TXN000101,CUST00813,FEAT005,20220523,2022-05-23,Bill Payment,8927.79,Completed,Android,432,1
TXN000102,CUST00252,FEAT004,20220609,2022-06-09,Transfer Receipt,69637.96,Completed,iOS,769,0
TXN000103,CUST01358,FEAT001,20220601,2022-06-01,Crypto Transfer,53475.73,Completed,iOS,628,1
TXN000104,CUST03588,FEAT002,20220310,2022-03-10,Savings Deposit,15672.7,Completed,Android,449,1
TXN000105,CUST04000,FEAT003,20221224,2022-12-24,Alert Triggered,0.0,Completed,Android,431,1
TXN000106,CUST02698,FEAT002,20220203,2022-02-03,Savings Deposit,48987.81,Completed,Android,823,0
TXN000107,CUST00155,FEAT001,20220706,2022-07-06,Crypto Transfer,168470.6,Completed,Android,612,1
TXN000108,CUST03694,FEAT003,20230928,2023-09-28,Expense Logged,0.0,Completed,Web,820,0
TXN000109,CUST03453,FEAT002,20221107,2022-11-07,Savings Withdrawal,39835.66,Completed,iOS,37,0
TXN000110,CUST02542,FEAT002,20231208,2023-12-08,Goal Created,27883.17,Completed,iOS,59,1
TXN000111,CUST00673,FEAT001,20230218,2023-02-18,Crypto Buy,68585.98,Completed,Android,175,1
TXN000112,CUST02543,FEAT005,20230323,2023-03-23,Bill Scheduled,10587.31,Completed,iOS,452,1
TXN000113,CUST04768,FEAT003,20221222,2022-12-22,Budget Set,0.0,Completed,iOS,174,1
TXN000114,CUST03045,FEAT003,20220310,2022-03-10,Expense Logged,0.0,Completed,Web,841,1
TXN000115,CUST01110,FEAT001,20230529,2023-05-29,Crypto Buy,145110.14,Completed,Android,209,0
TXN000116,CUST03130,FEAT001,20220422,2022-04-22,Crypto Sell,157454.57,Completed,iOS,213,1
TXN000117,CUST01247,FEAT001,20240412,2024-04-12,Crypto Transfer,105410.85,Completed,Android,329,0
TXN000118,CUST04089,FEAT005,20221021,2022-10-21,Bill Scheduled,9920.97,Completed,Android,563,0
TXN000119,CUST02817,FEAT003,20240626,2024-06-26,Budget Set,0.0,Completed,iOS,245,1
TXN000120,CUST03459,FEAT005,20230625,2023-06-25,Bill Scheduled,2304.93,Completed,iOS,824,1
TXN000121,CUST04421,FEAT003,20220123,2022-01-23,Alert Triggered,0.0,Completed,Android,311,1
TXN000122,CUST02184,FEAT002,20240122,2024-01-22,Savings Withdrawal,18870.61,Completed,Web,732,0
TXN000123,CUST04508,FEAT002,20220209,2022-02-09,Goal Created,40951.31,Completed,Android,683,1
TXN000124,CUST01099,FEAT004,20240317,2024-03-17,Instant Transfer,45072.74,Completed,Web,655,1
TXN000125,CUST00767,FEAT003,20230403,2023-04-03,Budget Set,0.0,Completed,Android,303,1
TXN000126,CUST01019,FEAT002,20220419,2022-04-19,Savings Deposit,6783.7,Completed,iOS,654,1
TXN000127,CUST00334,FEAT002,20221221,2022-12-21,Goal Created,26149.95,Completed,Android,545,1
TXN000128,CUST02387,FEAT002,20220311,2022-03-11,Savings Deposit,29215.99,Completed,iOS,430,1
TXN000129,CUST01380,FEAT002,20230120,2023-01-20,Goal Created,31545.42,Failed,Android,245,0
TXN000130,CUST00744,FEAT006,20240303,2024-03-03,FD Broken,114690.81,Completed,iOS,338,1
TXN000131,CUST04794,FEAT004,20220919,2022-09-19,Transfer Reversal,42458.79,Completed,Android,554,1
TXN000132,CUST00565,FEAT001,20240107,2024-01-07,Crypto Transfer,102413.0,Completed,iOS,375,1
TXN000133,CUST01049,FEAT005,20220422,2022-04-22,Auto-Pay,23958.5,Completed,Android,271,0
TXN000134,CUST04458,FEAT005,20221217,2022-12-17,Bill Payment,4511.11,Completed,Android,660,1
TXN000135,CUST01788,FEAT003,20220505,2022-05-05,Budget Set,0.0,Completed,iOS,348,0
TXN000136,CUST01518,FEAT001,20240518,2024-05-18,Crypto Buy,45343.16,Completed,Android,401,1
TXN000137,CUST02547,FEAT002,20230510,2023-05-10,Goal Created,40903.48,Completed,iOS,738,1
TXN000138,CUST03704,FEAT006,20231008,2023-10-08,FD Created,365882.06,Completed,Android,293,1
TXN000139,CUST04682,FEAT007,20240226,2024-02-26,EMI Payment,538068.26,Completed,Android,702,0
TXN000140,CUST01866,FEAT001,20220322,2022-03-22,Crypto Transfer,158205.52,Completed,Android,208,1
TXN000141,CUST00142,FEAT002,20230123,2023-01-23,Savings Withdrawal,33086.07,Completed,Android,875,1
TXN000142,CUST01885,FEAT001,20230820,2023-08-20,Crypto Sell,68742.1,Completed,Android,280,0
TXN000143,CUST01368,FEAT001,20230611,2023-06-11,Crypto Transfer,55736.79,Completed,iOS,108,1
TXN000144,CUST01066,FEAT003,20240503,2024-05-03,Alert Triggered,0.0,Completed,Android,710,1
TXN000145,CUST04618,FEAT003,20220803,2022-08-03,Alert Triggered,0.0,Completed,iOS,499,1
TXN000146,CUST04276,FEAT007,20230607,2023-06-07,Loan Applied,277645.17,Completed,iOS,33,0
TXN000147,CUST03590,FEAT002,20221027,2022-10-27,Savings Deposit,28638.1,Completed,Android,299,0
TXN000148,CUST04322,FEAT003,20230407,2023-04-07,Expense Logged,0.0,Completed,iOS,883,0
TXN000149,CUST02303,FEAT001,20220702,2022-07-02,Crypto Buy,88647.55,Completed,iOS,36,1
TXN000150,CUST04792,FEAT006,20220620,2022-06-20,FD Created,30819.19,Completed,Android,575,0
TXN000151,CUST04600,FEAT001,20240617,2024-06-17,Crypto Sell,97464.7,Completed,iOS,682,1
TXN000152,CUST04903,FEAT005,20240203,2024-02-03,Bill Payment,15851.7,Completed,Android,181,1
TXN000153,CUST04676,FEAT001,20220601,2022-06-01,Crypto Buy,162846.89,Completed,iOS,111,0
TXN000154,CUST00943,FEAT005,20230122,2023-01-22,Auto-Pay,4733.84,Completed,iOS,50,0
TXN000155,CUST00720,FEAT004,20240305,2024-03-05,Instant Transfer,41605.5,Completed,Android,505,1
TXN000156,CUST01982,FEAT002,20220625,2022-06-25,Savings Deposit,45784.94,Completed,iOS,864,0
TXN000157,CUST04705,FEAT007,20230420,2023-04-20,EMI Payment,884205.07,Reversed,Android,691,0
TXN000158,CUST00263,FEAT003,20230411,2023-04-11,Expense Logged,0.0,Completed,iOS,183,1
TXN000159,CUST00608,FEAT001,20230531,2023-05-31,Crypto Transfer,187099.38,Completed,iOS,665,0
TXN000160,CUST00152,FEAT005,20230318,2023-03-18,Bill Scheduled,10770.49,Completed,iOS,688,0
TXN000161,CUST00458,FEAT003,20231111,2023-11-11,Expense Logged,0.0,Completed,iOS,465,0
TXN000162,CUST02963,FEAT001,20240624,2024-06-24,Crypto Sell,74396.64,Completed,iOS,53,0
TXN000163,CUST00412,FEAT001,20240328,2024-03-28,Crypto Transfer,30436.32,Completed,iOS,534,1
TXN000164,CUST00677,FEAT005,20230226,2023-02-26,Bill Payment,2182.47,Failed,iOS,850,1
TXN000165,CUST03747,FEAT003,20230401,2023-04-01,Expense Logged,0.0,Completed,Android,269,1
TXN000166,CUST04639,FEAT003,20221205,2022-12-05,Expense Logged,0.0,Completed,Android,245,1
TXN000167,CUST00767,FEAT007,20231217,2023-12-17,EMI Payment,631142.74,Completed,Android,468,1
TXN000168,CUST00770,FEAT004,20240506,2024-05-06,Transfer Reversal,7449.42,Completed,iOS,634,1
TXN000169,CUST04237,FEAT001,20220424,2022-04-24,Crypto Transfer,176802.82,Completed,Web,206,0
TXN000170,CUST00947,FEAT001,20230604,2023-06-04,Crypto Buy,74336.62,Completed,Android,610,0
TXN000171,CUST01979,FEAT003,20220222,2022-02-22,Budget Set,0.0,Pending,iOS,332,1
TXN000172,CUST02249,FEAT003,20230913,2023-09-13,Budget Set,0.0,Completed,iOS,190,1
TXN000173,CUST04767,FEAT003,20220930,2022-09-30,Expense Logged,0.0,Completed,Android,846,0
TXN000174,CUST04518,FEAT003,20231002,2023-10-02,Expense Logged,0.0,Completed,Android,440,0
TXN000175,CUST00836,FEAT002,20230222,2023-02-22,Savings Deposit,41127.93,Completed,Web,149,1
TXN000176,CUST04387,FEAT004,20230117,2023-01-17,Transfer Receipt,46390.58,Pending,Android,80,0
TXN000177,CUST00767,FEAT001,20240430,2024-04-30,Crypto Transfer,4557.28,Pending,Android,190,1
TXN000178,CUST00491,FEAT007,20240513,2024-05-13,Loan Applied,799533.7,Completed,Android,483,1
TXN000179,CUST04519,FEAT001,20231217,2023-12-17,Crypto Sell,87615.17,Completed,Android,397,1
TXN000180,CUST03878,FEAT002,20220429,2022-04-29,Savings Withdrawal,30460.41,Completed,Android,524,0
TXN000181,CUST01353,FEAT002,20230804,2023-08-04,Savings Withdrawal,2237.17,Completed,Android,100,0
TXN000182,CUST01882,FEAT002,20230714,2023-07-14,Savings Withdrawal,20970.4,Completed,iOS,103,1
TXN000183,CUST03801,FEAT005,20230129,2023-01-29,Auto-Pay,24377.29,Completed,Android,704,1
TXN000184,CUST01885,FEAT002,20231027,2023-10-27,Savings Withdrawal,23925.89,Completed,Android,204,1
TXN000185,CUST02823,FEAT002,20240506,2024-05-06,Goal Created,29510.31,Completed,Web,59,1
TXN000186,CUST03263,FEAT004,20220715,2022-07-15,Transfer Receipt,34493.57,Completed,iOS,254,1
TXN000187,CUST00992,FEAT003,20220610,2022-06-10,Budget Set,0.0,Completed,iOS,744,1
TXN000188,CUST02948,FEAT005,20220318,2022-03-18,Bill Payment,16735.19,Completed,Web,61,0
TXN000189,CUST04963,FEAT002,20230905,2023-09-05,Savings Deposit,48570.47,Completed,Android,208,0
TXN000190,CUST04832,FEAT004,20230624,2023-06-24,Transfer Receipt,18255.6,Completed,iOS,864,1
TXN000191,CUST02240,FEAT002,20230620,2023-06-20,Savings Withdrawal,46341.42,Completed,iOS,126,0
TXN000192,CUST01786,FEAT001,20231202,2023-12-02,Crypto Buy,17125.87,Completed,Android,224,1
TXN000193,CUST02674,FEAT006,20230617,2023-06-17,FD Renewed,17998.43,Completed,Android,734,1
TXN000194,CUST00701,FEAT003,20220228,2022-02-28,Alert Triggered,0.0,Completed,Android,124,1
TXN000195,CUST01361,FEAT002,20220301,2022-03-01,Savings Withdrawal,46869.72,Failed,Android,765,1
TXN000196,CUST02798,FEAT002,20240511,2024-05-11,Savings Deposit,33644.84,Completed,iOS,553,1
TXN000197,CUST03898,FEAT003,20230915,2023-09-15,Expense Logged,0.0,Completed,iOS,653,1
TXN000198,CUST03086,FEAT003,20220820,2022-08-20,Alert Triggered,0.0,Completed,Android,703,0
TXN000199,CUST02479,FEAT002,20221126,2022-11-26,Goal Created,12568.3,Completed,Android,312,1
TXN000200,CUST03203,FEAT002,20230714,2023-07-14,Goal Created,46430.66,Completed,Android,457,1
TXN000201,CUST03148,FEAT004,20220627,2022-06-27,Transfer Receipt,82731.8,Completed,Android,725,0
TXN000202,CUST00388,FEAT003,20220110,2022-01-10,Budget Set,0.0,Completed,Android,484,1
TXN000203,CUST01910,FEAT001,20230205,2023-02-05,Crypto Transfer,39731.31,Completed,iOS,888,1
TXN000204,CUST02819,FEAT001,20230505,2023-05-05,Crypto Buy,186484.6,Completed,Android,560,1
TXN000205,CUST00572,FEAT007,20221206,2022-12-06,EMI Payment,73103.08,Completed,Web,878,1
TXN000206,CUST00101,FEAT002,20240119,2024-01-19,Savings Withdrawal,39460.96,Completed,Android,583,1
TXN000207,CUST01855,FEAT003,20220808,2022-08-08,Expense Logged,0.0,Completed,iOS,569,1
TXN000208,CUST01517,FEAT003,20230225,2023-02-25,Budget Set,0.0,Completed,iOS,327,1
TXN000209,CUST02481,FEAT002,20230211,2023-02-11,Savings Withdrawal,13287.01,Completed,iOS,403,1
TXN000210,CUST03672,FEAT001,20221225,2022-12-25,Crypto Buy,178526.52,Completed,iOS,93,0
TXN000211,CUST00360,FEAT001,20220520,2022-05-20,Crypto Sell,198293.36,Completed,Android,602,0
TXN000212,CUST04990,FEAT001,20231223,2023-12-23,Crypto Buy,88966.01,Completed,Web,515,1
TXN000213,CUST02615,FEAT003,20230401,2023-04-01,Budget Set,0.0,Completed,iOS,309,1
TXN000214,CUST04288,FEAT001,20230902,2023-09-02,Crypto Buy,192526.91,Completed,iOS,411,1
TXN000215,CUST02865,FEAT003,20220515,2022-05-15,Alert Triggered,0.0,Completed,Android,130,1
TXN000216,CUST03322,FEAT004,20221220,2022-12-20,Transfer Receipt,20354.06,Completed,iOS,869,1
TXN000217,CUST04060,FEAT002,20230805,2023-08-05,Savings Withdrawal,12581.9,Completed,Android,287,0
TXN000218,CUST00080,FEAT001,20220309,2022-03-09,Crypto Transfer,133548.45,Completed,Web,371,1
TXN000219,CUST04517,FEAT001,20231025,2023-10-25,Crypto Sell,82862.82,Completed,iOS,568,0
TXN000220,CUST02315,FEAT002,20230815,2023-08-15,Savings Withdrawal,40831.55,Completed,Android,851,0
TXN000221,CUST01309,FEAT001,20230105,2023-01-05,Crypto Buy,51595.97,Reversed,iOS,572,1
TXN000222,CUST01551,FEAT001,20240509,2024-05-09,Crypto Buy,162569.01,Completed,Web,310,0
TXN000223,CUST00240,FEAT006,20240412,2024-04-12,FD Created,427597.0,Completed,Android,63,0
TXN000224,CUST04272,FEAT003,20240123,2024-01-23,Alert Triggered,0.0,Pending,iOS,768,1
TXN000225,CUST00599,FEAT003,20220520,2022-05-20,Budget Set,0.0,Completed,iOS,793,1
TXN000226,CUST04756,FEAT002,20221016,2022-10-16,Savings Withdrawal,9808.67,Completed,Android,137,1
TXN000227,CUST02564,FEAT007,20220207,2022-02-07,Loan Applied,115984.98,Completed,Android,888,0
TXN000228,CUST02023,FEAT001,20230809,2023-08-09,Crypto Sell,60046.91,Completed,Android,708,0
TXN000229,CUST01069,FEAT001,20231120,2023-11-20,Crypto Buy,138229.92,Completed,Web,93,0
TXN000230,CUST04657,FEAT001,20221106,2022-11-06,Crypto Sell,8573.48,Completed,iOS,876,0
TXN000231,CUST03956,FEAT006,20240425,2024-04-25,FD Broken,364915.42,Reversed,Android,679,1
TXN000232,CUST00800,FEAT002,20230804,2023-08-04,Goal Created,8829.11,Completed,Android,237,0
TXN000233,CUST01151,FEAT001,20221030,2022-10-30,Crypto Buy,113468.08,Completed,Android,144,0
TXN000234,CUST00050,FEAT002,20230828,2023-08-28,Goal Created,35815.12,Pending,iOS,887,0
TXN000235,CUST03699,FEAT002,20220201,2022-02-01,Savings Deposit,34181.03,Completed,iOS,333,0
TXN000236,CUST00524,FEAT001,20220317,2022-03-17,Crypto Transfer,150674.71,Completed,iOS,653,1
TXN000237,CUST01829,FEAT001,20240324,2024-03-24,Crypto Sell,60056.04,Completed,iOS,689,0
TXN000238,CUST04566,FEAT001,20240225,2024-02-25,Crypto Sell,90873.85,Completed,Android,176,0
TXN000239,CUST04982,FEAT001,20230429,2023-04-29,Crypto Sell,54952.97,Completed,Android,481,0
TXN000240,CUST04971,FEAT003,20220802,2022-08-02,Budget Set,0.0,Completed,Android,741,0
TXN000241,CUST03784,FEAT001,20220531,2022-05-31,Crypto Transfer,24026.04,Completed,iOS,527,1
TXN000242,CUST04544,FEAT006,20220629,2022-06-29,FD Broken,41279.21,Completed,Android,747,0
TXN000243,CUST01117,FEAT004,20230511,2023-05-11,Instant Transfer,60410.33,Completed,iOS,761,1
TXN000244,CUST00456,FEAT001,20230219,2023-02-19,Crypto Transfer,148265.16,Completed,Android,289,1
TXN000245,CUST03224,FEAT002,20221025,2022-10-25,Savings Withdrawal,8967.34,Completed,iOS,283,1
TXN000246,CUST02467,FEAT002,20230110,2023-01-10,Savings Withdrawal,33102.05,Completed,Web,225,1
TXN000247,CUST02993,FEAT001,20230610,2023-06-10,Crypto Sell,170418.08,Completed,iOS,227,1
TXN000248,CUST00796,FEAT004,20220331,2022-03-31,Instant Transfer,8634.01,Completed,iOS,404,0
TXN000249,CUST02363,FEAT004,20240116,2024-01-16,Transfer Reversal,61244.87,Completed,Android,605,1
TXN000250,CUST03135,FEAT002,20230427,2023-04-27,Savings Withdrawal,13778.08,Completed,iOS,842,0
TXN000251,CUST02383,FEAT003,20221116,2022-11-16,Budget Set,0.0,Failed,iOS,152,1
TXN000252,CUST01684,FEAT005,20220617,2022-06-17,Bill Payment,22770.42,Completed,Android,793,1
TXN000253,CUST03061,FEAT006,20230131,2023-01-31,FD Renewed,43494.96,Completed,Web,542,1
TXN000254,CUST01521,FEAT003,20220813,2022-08-13,Budget Set,0.0,Completed,iOS,707,0
TXN000255,CUST01191,FEAT002,20230930,2023-09-30,Goal Created,35561.96,Completed,iOS,328,0
TXN000256,CUST03528,FEAT001,20220104,2022-01-04,Crypto Sell,171046.25,Completed,Web,425,1
TXN000257,CUST03622,FEAT005,20221101,2022-11-01,Bill Payment,1321.86,Completed,Android,324,1
TXN000258,CUST04331,FEAT002,20240606,2024-06-06,Goal Created,41134.56,Failed,iOS,141,1
TXN000259,CUST04209,FEAT001,20230505,2023-05-05,Crypto Transfer,124998.8,Completed,iOS,524,0
TXN000260,CUST00839,FEAT003,20240311,2024-03-11,Expense Logged,0.0,Completed,Android,649,0
TXN000261,CUST00182,FEAT001,20230708,2023-07-08,Crypto Transfer,159829.65,Completed,Android,113,1
