metric_id,customer_id,date_id,month,features_adopted,features_active,monthly_revenue_inr,clv_inr,nps_score,support_tickets,login_frequency,churn_risk_score,cross_sell_flag
MET000070,CUST00950,20220301,2022-03-01,1,5,1495.31,19191.11,4,3,25,0.9866,0
MET000071,CUST00217,20221001,2022-10-01,6,5,241.81,6298.14,1,2,13,0.4855,0
MET000072,CUST02478,20220101,2022-01-01,3,2,225.53,2792.63,8,4,18,0.384,0
MET000073,CUST01623,20231001,2023-10-01,6,4,420.11,5674.74,1,3,23,0.926,0
MET000074,CUST00053,20230401,2023-04-01,1,3,237.83,4041.98,9,2,3,0.4656,1
MET000075,CUST02125,20220401,2022-04-01,3,0,133.22,5128.99,7,0,23,0.3917,0
MET000076,CUST03698,20220301,2022-03-01,3,1,1353.08,15594.76,6,5,9,0.7214,0
MET000077,CUST04348,20230901,2023-09-01,4,1,2073.92,31105.74,8,1,15,0.2773,1
MET000078,CUST01338,20240301,2024-03-01,3,1,445.8,1986.45,5,5,14,0.7174,1
MET000079,CUST01665,20230501,2023-05-01,1,3,2345.93,30241.04,10,3,6,0.0048,1
MET000080,CUST04555,20240501,2024-05-01,3,2,1006.44,20937.02,2,5,11,0.4057,1
MET000081,CUST00643,20231201,2023-12-01,6,4,254.08,6530.67,10,2,30,0.183,0
MET000082,CUST04339,20220801,2022-08-01,6,0,416.83,5606.51,7,1,28,0.399,0
MET000083,CUST03888,20240501,2024-05-01,3,2,411.95,12516.79,3,2,28,0.849,0
MET000084,CUST03498,20220301,2022-03-01,6,1,1414.82,18103.76,7,4,9,0.7552,1
MET000085,CUST03922,20230401,2023-04-01,1,2,492.47,6843.55,6,1,18,0.3514,0
MET000086,CUST00038,20240401,2024-04-01,3,4,2322.06,28984.2,1,1,24,0.2428,0
MET000087,CUST01127,20220801,2022-08-01,2,4,938.49,11212.14,2,3,26,0.3438,0
MET000088,CUST01317,20231101,2023-11-01,1,4,1328.78,21289.78,10,5,9,0.924,0
MET000089,CUST03672,20240301,2024-03-01,4,1,183.32,6076.35,8,2,5,0.4288,1
MET000090,CUST00894,20221001,2022-10-01,4,1,209.43,5966.47,1,1,24,0.1348,0
MET000091,CUST02399,20230201,2023-02-01,2,0,1377.17,15211.97,10,1,23,0.3411,0
MET000092,CUST03675,20230901,2023-09-01,1,4,466.71,6667.23,4,1,19,0.3216,1
MET000093,CUST02734,20230401,2023-04-01,1,2,1154.89,10354.54,10,1,18,0.0309,0
MET000094,CUST03641,20240501,2024-05-01,1,5,305.61,17907.62,4,5,4,0.6266,1
MET000095,CUST01663,20220501,2022-05-01,4,2,128.93,3347.11,7,2,20,0.2513,0
MET000096,CUST03160,20240101,2024-01-01,1,0,1408.52,11897.79,6,0,7,0.2532,0
MET000097,CUST00665,20221001,2022-10-01,3,3,907.91,19740.64,8,3,30,0.7389,0
MET000098,CUST03018,20220401,2022-04-01,6,0,1012.07,14244.04,4,1,28,0.4645,1
MET000099,CUST01076,20240101,2024-01-01,5,5,284.35,7102.67,8,5,10,0.4079,0
MET000100,CUST00765,20231101,2023-11-01,1,5,1360.42,39081.69,7,1,10,0.0128,1
MET000101,CUST02885,20230601,2023-06-01,6,0,120.24,4450.13,3,5,6,0.1695,1
MET000102,CUST03534,20220101,2022-01-01,4,3,518.28,20782.2,3,0,27,0.3428,0
MET000103,CUST02709,20230701,2023-07-01,1,0,399.99,20941.68,2,5,21,0.4577,0
MET000104,CUST02536,20231201,2023-12-01,2,2,436.44,11229.95,5,5,14,0.1639,1
MET000105,CUST03944,20230901,2023-09-01,5,5,2699.63,16487.78,7,0,0,0.0109,1
MET000106,CUST01475,20230301,2023-03-01,1,2,988.05,12835.86,3,0,26,0.8851,0
MET000107,CUST04878,20220101,2022-01-01,6,3,335.75,3361.48,10,1,18,0.4331,0
MET000108,CUST02616,20221101,2022-11-01,1,3,393.94,1609.99,10,0,7,0.3761,1
MET000109,CUST02988,20230201,2023-02-01,5,2,440.52,2402.31,7,5,19,0.4716,0
MET000110,CUST01823,20221001,2022-10-01,1,0,1068.07,47666.39,3,3,20,0.1752,0
MET000111,CUST03669,20230701,2023-07-01,5,4,253.81,2463.45,6,1,15,0.9597,1
MET000112,CUST02733,20240401,2024-04-01,1,1,201.42,6308.44,1,0,9,0.4306,0
MET000113,CUST01965,20220201,2022-02-01,1,5,162.91,2117.05,4,5,18,0.1007,1
MET000114,CUST03884,20240501,2024-05-01,1,0,115.11,2552.06,8,3,7,0.3265,0
MET000115,CUST02562,20230401,2023-04-01,1,1,330.65,12426.01,9,3,28,0.6745,0
MET000116,CUST01008,20230401,2023-04-01,6,4,336.33,2903.71,4,0,20,0.5539,0
MET000117,CUST03185,20230801,2023-08-01,5,4,353.33,4392.65,7,5,15,0.4517,0
MET000118,CUST04540,20230701,2023-07-01,4,0,1095.85,17671.16,10,0,24,0.367,1
MET000119,CUST03669,20230901,2023-09-01,1,0,487.77,5773.94,2,2,14,0.5914,0
MET000120,CUST03636,20230301,2023-03-01,4,3,446.34,7554.84,1,3,1,0.9877,0
MET000121,CUST03489,20220401,2022-04-01,3,2,270.05,6356.22,8,1,26,0.2041,0
MET000122,CUST04367,20220101,2022-01-01,4,4,779.42,10860.13,6,1,27,0.7071,1
MET000123,CUST04202,20240101,2024-01-01,1,3,255.98,2833.43,6,0,1,0.8225,1
MET000124,CUST04992,20221001,2022-10-01,2,3,385.08,5848.87,7,1,30,0.1959,0
MET000125,CUST04127,20240201,2024-02-01,3,5,364.57,5042.05,6,5,7,0.8481,1
MET000126,CUST00678,20240301,2024-03-01,4,4,340.85,3264.99,10,2,30,0.5583,0
MET000127,CUST00129,20230501,2023-05-01,2,5,154.57,4942.08,4,0,21,0.4554,0
MET000128,CUST00640,20230701,2023-07-01,6,3,227.37,3127.07,6,0,20,0.1758,0
MET000129,CUST03134,20240101,2024-01-01,2,5,272.13,2655.29,1,3,16,0.5923,0
MET000130,CUST01184,20230801,2023-08-01,2,4,3221.98,36493.07,7,5,15,0.0341,0
MET000131,CUST01916,20230701,2023-07-01,3,1,113.96,3553.93,9,2,3,0.5835,1
MET000132,CUST02924,20230701,2023-07-01,5,3,360.65,5142.48,9,5,12,0.9604,0
MET000133,CUST01546,20231201,2023-12-01,6,4,403.2,3876.06,5,0,19,0.4876,0
MET000134,CUST00885,20230601,2023-06-01,4,2,408.01,1794.91,3,3,28,0.2197,0
MET000135,CUST02611,20220801,2022-08-01,6,3,492.39,1686.59,7,0,15,0.2861,0
MET000136,CUST02686,20220101,2022-01-01,5,5,799.22,6722.48,4,0,8,0.8089,0
MET000137,CUST04148,20230401,2023-04-01,2,5,415.57,2788.31,5,1,3,0.1933,1
MET000138,CUST02985,20221101,2022-11-01,6,4,195.46,6871.52,7,3,15,0.8722,1
MET000139,CUST02944,20220501,2022-05-01,6,2,458.69,6818.02,10,4,28,0.8891,0
MET000140,CUST04159,20220301,2022-03-01,1,1,1123.53,7288.14,4,5,22,0.5138,0
MET000141,CUST04833,20230901,2023-09-01,4,1,375.76,2356.79,4,1,28,0.8767,0
MET000142,CUST03043,20220201,2022-02-01,5,5,252.87,6981.81,8,1,11,0.7535,1
MET000143,CUST03193,20230301,2023-03-01,2,3,346.6,2161.39,9,5,4,0.3808,1
MET000144,CUST03389,20220101,2022-01-01,4,0,370.46,21173.23,7,4,4,0.9702,0
MET000145,CUST00401,20231001,2023-10-01,4,2,100.04,3354.49,6,0,25,0.0243,0
MET000146,CUST01485,20240101,2024-01-01,5,5,330.76,4066.05,8,4,13,0.9659,1
MET000147,CUST01171,20230201,2023-02-01,2,5,215.52,2541.59,4,3,10,0.1155,0
MET000148,CUST03217,20231001,2023-10-01,6,2,1253.36,5734.71,7,3,12,0.782,0
MET000149,CUST02004,20230901,2023-09-01,6,4,1206.79,19028.38,3,1,26,0.2846,1
MET000150,CUST04653,20230901,2023-09-01,1,3,387.43,3918.53,6,4,15,0.2726,1
MET000151,CUST03463,20240201,2024-02-01,1,0,337.19,5016.48,10,1,30,0.3017,0
MET000152,CUST03046,20240101,2024-01-01,5,4,111.79,2724.66,8,1,9,0.7576,1
MET000153,CUST04168,20220501,2022-05-01,1,4,427.15,1908.22,5,5,30,0.0891,0
MET000154,CUST01682,20230201,2023-02-01,6,4,295.73,5979.54,2,2,7,0.5616,0
MET000155,CUST01910,20230601,2023-06-01,1,1,180.6,1971.67,1,0,18,0.3732,0
MET000156,CUST02766,20230101,2023-01-01,6,5,812.85,7299.01,9,4,13,0.357,1
MET000157,CUST03407,20221201,2022-12-01,4,0,374.16,5081.64,9,4,7,0.7904,1
MET000158,CUST03636,20220601,2022-06-01,2,0,831.64,10458.8,10,0,1,0.5834,1
MET000159,CUST00028,20220401,2022-04-01,4,2,234.95,2468.13,2,0,21,0.8591,1
MET000160,CUST04247,20220601,2022-06-01,5,2,111.09,6828.78,1,4,2,0.4866,1
MET000161,CUST03180,20230701,2023-07-01,5,1,255.38,6740.53,9,5,30,0.8881,1
MET000162,CUST03129,20220101,2022-01-01,4,5,3007.47,21093.35,6,0,13,0.6022,0
MET000163,CUST02282,20240401,2024-04-01,2,1,302.26,5200.52,10,2,10,0.3486,0
MET000164,CUST04629,20231201,2023-12-01,3,0,245.32,4673.12,7,0,18,0.1601,1
MET000165,CUST00553,20230101,2023-01-01,1,4,1163.68,52888.56,7,5,10,0.9972,0
MET000166,CUST02961,20221101,2022-11-01,4,4,2655.12,14304.66,9,4,13,0.5226,0
MET000167,CUST03975,20230701,2023-07-01,2,3,223.5,1680.52,8,1,20,0.0995,0
MET000168,CUST02815,20230201,2023-02-01,6,4,270.47,6206.19,3,3,14,0.9062,1
MET000169,CUST01008,20230501,2023-05-01,4,1,317.14,6232.2,1,2,27,0.2522,1
MET000170,CUST03144,20221101,2022-11-01,5,2,257.84,2233.58,10,3,19,0.77,0
MET000171,CUST00220,20220701,2022-07-01,5,3,297.4,5088.05,5,0,12,0.7319,0
MET000172,CUST01803,20220101,2022-01-01,1,5,285.53,4817.95,7,2,13,0.866,1
MET000173,CUST01864,20240501,2024-05-01,5,5,357.6,2935.82,6,2,30,0.8491,0
MET000174,CUST03532,20230801,2023-08-01,2,5,497.3,2726.36,3,0,23,0.1816,1
MET000175,CUST04708,20230201,2023-02-01,4,5,451.11,7191.13,5,0,27,0.4972,1
MET000176,CUST04405,20230301,2023-03-01,4,0,456.17,5478.89,4,2,26,0.0323,1
MET000177,CUST01047,20221201,2022-12-01,1,1,317.19,2206.83,4,3,6,0.3635,0
MET000178,CUST01199,20220101,2022-01-01,5,2,192.43,5772.33,3,1,12,0.0911,0
MET000179,CUST01394,20230101,2023-01-01,2,4,543.84,5348.54,8,3,17,0.7877,0
MET000180,CUST01118,20230301,2023-03-01,3,5,1036.51,21390.61,5,1,20,0.4414,0
MET000181,CUST02069,20240401,2024-04-01,4,1,401.95,3270.62,3,0,26,0.2132,0
MET000182,CUST02769,20221101,2022-11-01,2,1,104.41,6743.91,4,2,19,0.733,0
MET000183,CUST00928,20230201,2023-02-01,3,5,1342.12,6362.98,2,5,18,0.1474,0
MET000184,CUST02959,20240101,2024-01-01,3,1,130.0,3008.64,10,1,2,0.797,1
MET000185,CUST03384,20230301,2023-03-01,3,1,2977.99,19748.19,5,4,28,0.617,1
MET000186,CUST02229,20240501,2024-05-01,5,5,2370.82,15985.11,6,3,22,0.2337,0
MET000187,CUST02114,20231101,2023-11-01,6,5,425.89,3686.06,9,4,30,0.0229,0
MET000188,CUST01729,20220401,2022-04-01,2,4,2571.23,17010.49,3,4,21,0.5107,1
MET000189,CUST02181,20230301,2023-03-01,5,1,428.88,3970.58,1,0,15,0.0347,0
MET000190,CUST01729,20240201,2024-02-01,2,1,2823.24,19251.71,5,4,22,0.7512,0
MET000191,CUST01967,20230401,2023-04-01,1,4,301.91,12765.33,5,2,20,0.9349,0
MET000192,CUST00568,20240101,2024-01-01,4,0,354.89,7184.78,9,0,5,0.7283,0
MET000193,CUST01538,20221101,2022-11-01,4,0,2632.92,52115.5,2,5,15,0.8591,0
MET000194,CUST01898,20220101,2022-01-01,6,3,165.33,4107.92,6,0,22,0.5239,1
MET000195,CUST02943,20220501,2022-05-01,2,0,3417.02,42718.5,1,1,29,0.3126,1
MET000196,CUST00956,20240601,2024-06-01,4,5,1378.77,20167.81,4,0,6,0.4473,1
MET000197,CUST02030,20220501,2022-05-01,5,1,387.54,4134.71,7,0,27,0.3036,1
MET000198,CUST02481,20240201,2024-02-01,6,5,454.72,3039.52,9,5,21,0.1454,1
MET000199,CUST00614,20230301,2023-03-01,5,5,345.61,2456.74,3,3,25,0.8245,0
MET000200,CUST02632,20240501,2024-05-01,5,0,1187.4,21266.77,5,1,16,0.4934,1
MET000201,CUST01458,20221001,2022-10-01,2,1,352.39,3782.97,6,1,7,0.4751,0
MET000202,CUST04188,20220901,2022-09-01,5,0,131.08,4382.36,1,4,24,0.8859,1
MET000203,CUST04421,20220401,2022-04-01,1,5,809.52,37327.78,5,5,18,0.129,1
MET000204,CUST03002,20230401,2023-04-01,2,1,471.73,21119.95,7,5,7,0.9342,0
MET000205,CUST02449,20240301,2024-03-01,4,0,443.26,6979.52,10,2,15,0.9421,1
MET000206,CUST00180,20220601,2022-06-01,5,4,3344.63,15941.06,8,1,5,0.9541,0
MET000207,CUST04549,20230201,2023-02-01,2,4,410.14,5896.53,9,2,23,0.9283,0
MET000208,CUST02099,20220601,2022-06-01,4,2,468.04,6556.56,7,1,7,0.6881,0
MET000209,CUST02574,20220801,2022-08-01,1,5,834.09,6361.41,2,1,16,0.7555,0
MET000210,CUST00149,20230601,2023-06-01,6,2,793.61,11385.36,5,3,1,0.2083,1
MET000211,CUST03650,20221101,2022-11-01,2,0,398.95,5184.19,2,3,18,0.9561,1
MET000212,CUST00100,20230701,2023-07-01,5,2,216.52,5973.95,2,1,1,0.5436,0
MET000213,CUST02630,20240201,2024-02-01,5,0,1019.17,16935.17,6,4,8,0.8006,1
MET000214,CUST03745,20220401,2022-04-01,6,5,442.0,15591.15,7,0,17,0.8553,1
MET000215,CUST01701,20230201,2023-02-01,6,4,746.95,4886.73,3,5,0,0.904,0
MET000216,CUST01791,20240201,2024-02-01,5,3,742.47,18409.36,7,5,6,0.3276,0
MET000217,CUST02508,20230901,2023-09-01,3,1,345.59,5049.72,2,3,29,0.4492,1
MET000218,CUST01627,20220601,2022-06-01,1,4,508.65,18101.34,2,1,29,0.4387,0
MET000219,CUST02627,20221101,2022-11-01,5,4,2571.34,48776.53,3,5,5,0.1003,1
MET000220,CUST04335,20230801,2023-08-01,4,2,390.96,5024.35,6,5,10,0.6514,1
MET000221,CUST02157,20220801,2022-08-01,3,0,832.0,12612.87,7,4,20,0.9519,0
MET000222,CUST01201,20230101,2023-01-01,6,5,1425.06,16971.91,8,3,24,0.4487,0
MET000223,CUST04609,20220601,2022-06-01,6,5,321.28,5683.64,6,0,15,0.2946,0
MET000224,CUST04172,20220901,2022-09-01,6,4,1216.49,46899.75,7,1,21,0.1943,1
MET000225,CUST02863,20231001,2023-10-01,3,4,214.21,6851.4,1,5,16,0.5166,0
MET000226,CUST02009,20220401,2022-04-01,3,4,302.78,6573.18,8,0,19,0.8132,0
MET000227,CUST00976,20221101,2022-11-01,2,4,1925.25,53357.73,9,5,5,0.1424,0
MET000228,CUST01532,20220801,2022-08-01,5,1,3171.42,29433.56,9,4,29,0.0788,0
MET000229,CUST04616,20220601,2022-06-01,4,0,3218.89,36607.96,2,0,2,0.5082,0
MET000230,CUST01208,20221101,2022-11-01,3,1,396.35,6099.97,8,5,28,0.1785,0
MET000231,CUST00835,20230801,2023-08-01,3,3,1304.93,14289.12,9,4,3,0.4119,0
MET000232,CUST03133,20240201,2024-02-01,1,0,3730.96,35858.71,1,1,8,0.2422,1
MET000233,CUST00105,20230901,2023-09-01,1,3,273.97,3083.91,2,3,27,0.7879,1
MET000234,CUST00303,20220801,2022-08-01,2,4,1203.65,17853.53,10,0,26,0.0498,0
MET000235,CUST01453,20240301,2024-03-01,6,1,343.44,2772.74,2,3,20,0.8761,0
MET000236,CUST00435,20231201,2023-12-01,1,5,658.87,10590.0,3,5,14,0.7344,1
MET000237,CUST02387,20220301,2022-03-01,4,5,269.42,2551.96,10,2,27,0.4349,1
MET000238,CUST04254,20221101,2022-11-01,2,5,147.67,2126.64,5,3,23,0.9952,0
MET000239,CUST00171,20221001,2022-10-01,3,4,406.87,4283.7,1,4,11,0.8028,1
MET000240,CUST00755,20240201,2024-02-01,6,5,1119.44,47486.67,2,4,0,0.1718,0
MET000241,CUST04005,20230601,2023-06-01,3,4,564.96,16170.33,7,2,20,0.8268,1
MET000242,CUST01520,20220401,2022-04-01,6,2,187.76,3224.43,10,5,15,0.1916,0
MET000243,CUST00805,20231001,2023-10-01,5,5,317.95,4777.75,10,3,20,0.4942,1
MET000244,CUST00553,20220801,2022-08-01,4,1,1770.42,29139.99,10,5,21,0.6212,0
MET000245,CUST04869,20231001,2023-10-01,4,3,1841.77,38910.28,1,2,0,0.569,0
MET000246,CUST00569,20220101,2022-01-01,4,4,392.06,16231.93,4,3,11,0.8574,1
MET000247,CUST00476,20220701,2022-07-01,3,3,451.66,2039.74,8,5,23,0.9698,0
MET000248,CUST01277,20231001,2023-10-01,3,5,403.59,2024.22,5,1,2,0.1024,0
MET000249,CUST01452,20230401,2023-04-01,1,0,2282.09,25522.93,1,2,17,0.7335,1
MET000250,CUST00407,20220901,2022-09-01,3,4,2471.35,24998.88,7,3,30,0.0786,1
MET000251,CUST03826,20240301,2024-03-01,6,1,120.5,4288.1,10,5,18,0.4543,1
MET000252,CUST02402,20220601,2022-06-01,5,3,1249.33,18293.05,8,2,15,0.0238,1
MET000253,CUST04572,20231201,2023-12-01,2,2,212.0,3169.28,5,0,9,0.0745,0
MET000254,CUST01813,20221001,2022-10-01,5,4,249.29,7151.14,9,3,11,0.3493,0
MET000255,CUST01234,20220401,2022-04-01,3,3,320.7,5951.51,3,0,16,0.7416,1
MET000256,CUST00434,20220601,2022-06-01,1,2,306.4,6356.09,4,2,14,0.0352,1
MET000257,CUST01243,20221201,2022-12-01,1,4,547.76,6996.52,3,0,27,0.8949,0
MET000258,CUST01580,20220401,2022-04-01,6,1,1028.54,13939.66,9,3,10,0.0147,1
MET000259,CUST00384,20240201,2024-02-01,2,1,230.18,1841.58,5,5,23,0.0879,0
MET000260,CUST03495,20220801,2022-08-01,4,1,363.79,5721.89,7,5,6,0.8941,0
MET000261,CUST04667,20231201,2023-12-01,5,3,263.93,6526.3,7,0,8,0.3881,0
MET000262,CUST01914,20220801,2022-08-01,3,1,262.12,5460.22,6,4,27,0.7008,0
MET000263,CUST02777,20230701,2023-07-01,1,0,357.01,2358.67,10,1,25,0.8051,1
MET000264,CUST03005,20220101,2022-01-01,6,4,412.17,14676.92,9,2,5,0.2983,1
MET000265,CUST00493,20240601,2024-06-01,4,0,1473.01,6207.41,10,3,23,0.6426,1
MET000266,CUST00713,20231201,2023-12-01,6,1,182.52,2684.47,10,4,5,0.5474,0
MET000267,CUST00017,20231001,2023-10-01,1,2,268.75,3780.29,10,3,0,0.4739,1
MET000268,CUST00371,20240201,2024-02-01,3,0,469.18,6526.09,1,1,25,0.3101,1
MET000269,CUST01700,20230201,2023-02-01,3,3,248.69,6812.74,6,2,27,0.3092,0
MET000270,CUST00814,20230101,2023-01-01,5,0,431.66,3251.05,5,2,0,0.6551,0
MET000271,CUST03346,20220301,2022-03-01,6,2,532.41,16493.73,6,3,14,0.5926,0
MET000272,CUST02904,20220801,2022-08-01,5,0,910.18,5537.15,2,2,15,0.4625,0
MET000273,CUST00688,20230901,2023-09-01,5,2,750.15,19563.09,3,0,18,0.5591,0
MET000274,CUST04242,20240401,2024-04-01,1,0,474.73,4907.05,4,4,25,0.3903,0
MET000275,CUST00380,20230201,2023-02-01,5,3,338.07,4355.58,6,1,9,0.6375,0
MET000276,CUST02655,20231201,2023-12-01,6,1,1201.13,5213.48,8,3,27,0.442,0
MET000277,CUST02828,20230101,2023-01-01,6,2,472.55,5043.28,7,2,6,0.8752,1
MET000278,CUST00660,20230901,2023-09-01,3,0,787.89,20121.66,1,3,8,0.9291,1
MET000279,CUST04546,20230201,2023-02-01,2,5,240.87,2106.55,1,2,22,0.1115,0
MET000280,CUST00784,20221001,2022-10-01,6,5,155.21,6775.17,7,0,25,0.2582,1
MET000281,CUST00237,20240201,2024-02-01,3,1,930.9,20149.65,3,3,22,0.5675,1
MET000282,CUST03584,20221101,2022-11-01,3,4,132.56,5326.74,7,1,24,0.6148,1
MET000283,CUST01313,20230301,2023-03-01,5,1,680.65,6287.29,6,0,0,0.2143,1
MET000284,CUST04386,20231101,2023-11-01,1,3,3236.48,21391.39,4,1,15,0.0285,1
MET000285,CUST01170,20220301,2022-03-01,5,2,187.87,4361.3,3,1,29,0.439,1
MET000286,CUST04504,20220101,2022-01-01,1,1,1805.25,30357.44,7,5,6,0.8293,0
MET000287,CUST03116,20220401,2022-04-01,5,4,174.75,3746.95,3,5,26,0.2631,1
